id;productgroup;main_text;add_text;manufacturer
26229701;WASHINGMACHINES;WAQ284E25;WASCHMASCHINEN;BOSCH
16576864;USB MEMORY;LEEF IBRIDGE MOBILE SPEICHERERWEITERUNG FUER IPHONE, IPAD UND IPOD - MIT LIGHTNING UND USB, 128 GB;PC__1100COMPUTINGMEMORY__1110MEMORYCARDS;LEEF
26155618;USB MEMORY;SANDISK 32GB ULTRA FIT USB 3.0;W1370;
25646138;BICYCLES;HOLLANDRAD DAMEN 28 ZOLL TUSSAUD 3-GAENGE RH 54 cm  SCHWARZ BELLEFLEUR;FAHRRAEDER // SPORTFAHRRAEDER;SCHALOW & KROH GMBH
19764614;BICYCLES;DAHON SPEED D7 SCHWARZ ? FALTRAD;SPORTS__30000WHEELED__30070BIKES;DAHON
64836708;USB MEMORY;PNY 16GB LEGO USB FLASH DRIVE + LEGO BRIC;COMPONENT __ MEMORY;PNY
25637375;BICYCLES;CITYBIKE COLORS 28 ZOLL INKL. KORB  STAND.-VAR.;FAHRRAEDER // FAHRRAEDER CITY-BIKES;TRENDMAXX GMBH
49459632;BICYCLES;126 CITY BIKE 28 3GANG,KORB,WEISS  ST 0001 0 10400 20170121;1160005;
21250597;WASHINGMACHINES;AEG WASCHMASCHINE LC53500;GG;AEG
26295640;WASHINGMACHINES;WD 15 H 590 EXTRAKLASSE;WASCHTROCKNER;SIEMENS
66928405;USB MEMORY;615634  FLASHPEN LAETA USB 2.0 8 GB 10MB FLASHPEN LAETA, USB 2.0, EH13;410107__HARTWAREN_MULTIMEDIA_OSS_FESTPLATTEN SPEICHER;
25830006;WASHINGMACHINES;WM 14 B 2 E1 A+++ 6 KG 1400 U/MIN. XKLUSIV;WASCHMASCHINE FRONTLADER;SIEMENS
37679388;BICYCLES;GIANT TALON 1 LTD 27.5 BLACK;FAHRRAEDER>>MOUNTAINBIKES>>DELHARDTAILSBIS1000;GIANT
73954449;WASHINGMACHINES;POLAR PULSUHR V800 HR, BLACK, 90060770;SPORTS__29000MULTISPORTS__29170HEARTRATEWATCHES&SPORTSCOMPUTERS&GPSDE;POLAR
62233672;CONTACT LENSES;ECCO CHANGE ONE DAY UV30 STÜCKUNISEX;LINSEN;MPG&E
48577002;USB MEMORY;VERBATIM STORE 'N' GO V3 16GB USB 3.0 STICK;USB-STICKS;VERBATIM
29197302;USB MEMORY;USB  8GB  MINIONS CARL  TD  PCK:211750 PEH:0 MEH:ST;COMPUTER;TRIBE
62215999;CONTACT LENSES;BIOFINITY TORIC 3ER BOX3 STÜCKUNISEX;LINSEN;COOPER
42306852;BICYCLES;BERGAMONT ROXTAR 7.0 SCHWARZ/SILBER/GRUEN 47 CM;1_1_6;BERGAMONT
69818512;BICYCLES;PROPH.ATB-FALTR. 26X1,95;68;Fashion_EAN
62220744;CONTACT LENSES;SAUFLON 55 UV6 STÜCKUNISEX;LINSEN;SAUFLON
42332746;BICYCLES;BICYCLES EXT600 HERREN MATTSCHWARZ 55 CM;1_2_4;BICYCLES
65348701;USB MEMORY;TOSHIBA KEY USB TRANSMEMORY MX 16 GB;STORAGE__FLASH MEMORY__USB-STICKS;TOSHIBA EUROPE
67022275;BICYCLES;821164  MTB 275 MTB 27,5 WEISS-GRUEN 51;112100__FASHION & SPORT_SPORT_SPORT HARTWAREN_MOUNTAINBIKE;
42298442;BICYCLES;GAZELLE ARROYO C7+ HE MATTSCHWARZ 61 CM;1_4_4;GAZELLE
28465827;BICYCLES;MAEDCHENFAHRRAD  20  E 1.2;9001001;SI ZWEIRAD VERTRIEBS GMBH
21048852;CONTACT LENSES;CL10010 MENICON SOFT 72;CL;MENICON GMBH
46867874;WASHINGMACHINES;WM14U640  WEISS WASCHMASCHINEN (STAND) WM14U640;STANDARDKATALOG_ELEKTRO-GROSSGERAETE_WASCHMASCHINEN (STAND);SIEMENS
43510566;WASHINGMACHINES;WDA 201 WPM  LOTOSWEISS WASCHMASCHINEN (STAND) 11DA2014D /;ELEKTRO-GROSSGERAETE_WASCHMASCHINEN(STAND)_UNASSIGNED;MIELE
42324945;BICYCLES;GAZELLE PARIS C7+ HE WASSERBLAU 57 CM;1_4_4;GAZELLE
72360981;CONTACT LENSES;CONTACTLINSEN COOPER EIGENMARKE OPTIONS COMFORT ONE DAY (30ER);CL;COOPER EIGENMARKE
37675938;BICYCLES;TESTRAD: SERIOUS ROCKVILLE 26 BLACK/BLUE;RESTPOSTEN>>FAHRRADRESTPOSTEN>>MTBS&FULLYS;SERIOUS
26475495;USB MEMORY;SAN CRUZER EXTREME 16 GB 3.0;175;HAMA GMBH & CO.KG
42314298;BICYCLES;RALEIGH RUSHHOUR 4.0 XXL HERREN MATTSCHWARZ 70 CM;1_2_4;RALEIGH
18097040;CONTACT LENSES;ACUVUE 1-DAY MOIST TAGESLINSEN WEICH, 30 STUECK / BC 9.0 MM / DIA 14.2 / +5.50 DIOPTRIEN;HEALTH&PERSONALCARE__3000HEALTHCARE__3042CONTACTLENSES;ACUVUE
42302994;BICYCLES;GAZELLE TORRENTE PLUS HERREN MATTSCHWARZ 57 CM;1_2_4;GAZELLE
42307170;BICYCLES;MERIDA ONE.TWENTY 9. XT-EDITION SCHWARZ/GRAU 45 CM;1_1_7;MERIDA
42324394;BICYCLES;GAZELLE PUUR_NL+ ECLIPSE BLACK MATT 54 CM;1_4_7;GAZELLE
62220085;CONTACT LENSES;PROCLEAR TORIC6 STÜCKUNISEX;LINSEN;COOPER
62216910;CONTACT LENSES;BIOFINITY TORIC 6ER BOX6 STÜCKUNISEX;LINSEN;COOPER
49058165;WASHINGMACHINES;WW 80 K 6404 SW;20251035__STAND-WASCHMASCHINE-FRONT;SAMSUNG
25413118;WASHINGMACHINES;EXQUISIT WASCHAUTOMAT WA 6110-7  STAND.-VAR.;ELEKTRO-GROSSGERAETE // WASCHAUTOMATEN;GGV HANDELSGESMBH&COKG
63092523;USB MEMORY;TRANSMEMORY MX 32GB BLACK USB3.0 USB STICK;MEMORY AND PROCESSORS __ TOSHIBA MEMORY;TOSHIBA - MASS STORAGE
21252729;WASHINGMACHINES;MIELE WASCHMASCHINE WDA111WCS;GG;MIELE
28833070;WASHINGMACHINES;AEGL73470PMFL;WEI.WARE+KUECHEN__WAESCHEPFLEGE__WASCHVOLLAUTOM.;INTERN
66437581;USB MEMORY;STICK USB2.0  8GB KINGSTON DATATRAVELER MICRO DUO OTG RT;1011_FLASHKARTEN / USB-STICK;KINGSTON
28396755;CONTACT LENSES;EXTREME H2O TORIC LC (CYL -0,75)  006;CL;JENALENS
65664506;USB MEMORY;Kingston 16GB USB 3.0 DATATRAVELER SE9;99;
26174043;WASHINGMACHINES;W2859ILWPM D ED VOLLWASCHAUTOMAT;WASCHMASCHINEN;MIELE
66679125;WASHINGMACHINES;SIEMENS WM14Y74D;30001477;SIEMENS-ELECTROGER?TE GMBH
62233808;CONTACT LENSES;1-DAY ACUVUE90 STÜCKUNISEX;LINSEN;J&J
62236141;CONTACT LENSES;BIOMEDICS 1 DAY EXTRA90 STÜCKUNISEX;LINSEN;COOPER
72383517;CONTACT LENSES;CONTACTLINSEN COOPER VISION EYE²OXYPLUS1DMF;CL;COOPER VISION
28963152;WASHINGMACHINES;WA SENS XXL 824;WEI.WARE+KUECHEN__WAESCHEPFLEGE__WASCHVOLLAUTOM.;BAUKNECHT
67497827;BICYCLES;BESTANDSARTIKEL SUMME7613317366658;BESTANDSARTIKEL;SCOTT SPORTS AG
37714621;BICYCLES;CORRATEC X-VERT HALCON 650B 27,5 BLACK GLOSSY/VIPER GREEN/WHITE;FAHRRAEDER>>MOUNTAINBIKES>>HARDTAILSBIS500;CORRATEC
42314091;BICYCLES;FUJI FEATHER RED 52 CM;1_5_5;FUJI
22579690;WASHINGMACHINES;LAVAMAT 77489 PFL WASCHMASCHINE A+++ 8KG;10;AEG
24374511;WASHINGMACHINES;EINBAUWASCHMASCHINE WMI71443PTE WMI71443PTE FUELLMENGE 7KG,VOLLINT.|| 16 PROGR.,WATERSAFE,MENGENAUTOMATIK  5041640;894;BEKO DEUTSCHLAND GMBH
65560827;USB MEMORY;USB  128GB DATATRAV DT50  U3 KIN  PCK:35190 PEH:0 MEH:ST;3__COMPUTER__STORAGE;KINGSTON
24550411;WASHINGMACHINES;WASCHVOLLAUTOMAT OMV510A+ OMV510A+|| EEK:A+, 1000 U/MIN, 5KG KAPAZITAET  5043487;412;VESTEL GERMANY GMBH
52069471;WASHINGMACHINES;LAVAMAT L 76685 WD  ;00718__WASCHTROCKNER;AEG
19564393;CONTACT LENSES;ACUVUE OASYS FOR ASTIGMATISM 2-WOCHENLINSEN WEICH, 6 STUECK / BC 8.6 MM / DIA 14.5 / CYL -2.25 / ACHSE 160 / -4.75 DIOPTRIEN;HEALTH&PERSONALCARE__3000HEALTHCARE__3042CONTACTLENSES;ACUVUE
65809621;USB MEMORY;SANDISK ULTRA USB 3.0256GB;SPEICHER __ DATENTRAEGER/PC-SPEICHER __ USB-STICKS;SANDISK
66481881;USB MEMORY;KINGSTON USB 3.0 MEMORY STICK DATATRAVELER G4, 16 GB, WEISS/BLAU;610__KOMPONENTEN;KINGSTON
30910697;USB MEMORY;USB-STICK MINI 2.0 KAP.8GB MEDIARANGE;EDV-ZUBEH?R UND SOFTWARE;ALKA
42311960;BICYCLES;MERIDA BIG NINETY-NINE LITE XT MATTSCHWARZ 51 CM;1_1_7;MERIDA
62235943;CONTACT LENSES;CONTACT DAY 30 TORIC6 STÜCKUNISEX;LINSEN;WOEHLKZEIS
52640349;USB MEMORY;TOSHIBA 32GB USB3.0TRANSMEMORY BLAU;1,00022E+15;
20399868;WASHINGMACHINES;BOSCH WAW32541 SERIE 8 WASCHMASCHINE FL / A+++ / 196 KWH/JAHR / 1551 UPM / 8 KG / ACTIVEWATER PLUS / ECOSILENCE DRIVE / WEISS;MAJORAPPLIANCES__2000LAUNDRY__2035FSFRONTLOADWASHINGMACHINES;BOSCH
64615583;USB MEMORY;USB 3.0 - 64GB -SECURE DATA DRIVE USB 3.0 - 64GB -SECURE DATA DRIVE;CHIAVETTE USB __ 64 GB;CONSUMABILI VERBATIM
30963143;USB MEMORY;USB-STICK EMTEC TAKE IT EASY, 8 GB 100X, BIS 15 MB/S, SMILEY WORLD;SPEICHERMEDIEN;
65469279;USB MEMORY;USB-STICK  8GB TRANSCEND JETFLASH 350 SCHWARZ;USB-SPEICHER;TRANSCEND
21113760;USB MEMORY;SanDisk Cruzer Force 16GB;65003;sandisk
62215175;CONTACT LENSES;1-DAY ACUVUE MOIST ASTIGMATISM90 STÜCKUNISEX;LINSEN;J&J
37719623;BICYCLES;VOTEC VRX-C COMP - CYCLOCROSS - BLACK MATT/BLACK GLOSSY;FAHRRAEDER>>FITNESSBIKES/CYCLOCROSS>>CYCLOCROSSER&GRAVELBIKES;VOTEC
62226494;CONTACT LENSES;PROCLEAR TORIC6 STÜCKUNISEX;LINSEN;COOPER
